Sw H + Iono O	North to South	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-5.992682024	-2.593931781	4.001321646	-3.224627667
-5.995123722	-2.593374999	4.008905187	-3.226417717
-5.996751716	-2.593003401	4.024037775	-3.229972856
-5.997837134	-2.592755485	4.054194871	-3.236986356
-5.998560784	-2.592590126	4.113977204	-3.250586701
-5.999043234	-2.592479851	4.173825042	-3.263743709
-5.999364876	-2.592406318	4.233753551	-3.276388069
-5.999579307	-2.592357289	4.293816715	-3.288495536
-5.999722262	-2.5923246	4.353891367	-3.300040614
-5.999817567	-2.592302805	4.414023179	-3.311010611
-5.999881103	-2.592288275	4.474276439	-3.32132775
-5.999923461	-2.592278588	4.534717854	-3.33096729
-5.9999517	-2.59227213	4.595281915	-3.339960449
-5.999970526	-2.592267824	4.655846489	-3.34830353
-5.999983076	-2.592264954	4.716533776	-3.355928736
-5.999991443	-2.59226304	4.777341561	-3.362775471
-5.999997021	-2.592261765	4.838279563	-3.36888893
-6.00000074	-2.592260914	4.899248494	-3.374256668
-6.000004458	-2.592260064	4.960258403	-3.378790969
-6.000019333	-2.592256662	5.021344033	-3.382441632
-6.000049082	-2.592249858	5.082546496	-3.385247128
-6.000287067	-2.592195426	5.143775901	-3.387190212
-6.000763012	-2.592086551	5.204975945	-3.388174469
-6.001714808	-2.591868759	5.266193696	-3.388145468
-6.003618019	-2.591433011	5.327492283	-3.387131986
-6.007422913	-2.590560853	5.388763829	-3.385128167
-6.037703569	-2.583571185	5.44994557	-3.38203511
-6.097855759	-2.569437092	5.511065065	-3.37777697
-6.157918353	-2.555012764	5.572200504	-3.372372268
-6.217895579	-2.540300533	5.633202696	-3.365852282
-6.277825888	-2.52525868	5.69405641	-3.358113738
-6.337715229	-2.509908303	5.754736949	-3.349048653
-6.397511648	-2.494296091	5.815333718	-3.338668515
-6.457198845	-2.478406099	5.875673397	-3.327057807
-6.516825771	-2.462242013	5.91707084	-3.318311848
-6.57643709	-2.445820181	5.944703535	-3.312097057
-6.635961129	-2.429144179	5.963136579	-3.307772155
-6.695399075	-2.412205021	5.975426954	-3.304805025
-6.75476379	-2.39502542	5.983620824	-3.302788954
-6.814125213	-2.377603574	5.989083389	-3.301427814
-6.873410107	-2.359961919	5.992725049	-3.300512727
-6.93262337	-2.342110476	5.995152788	-3.299899246
-6.991757033	-2.324050098	5.99677126	-3.299488732
-7.050872083	-2.305748803	5.997850232	-3.299214375
-7.109932731	-2.287243277	5.998569542	-3.299031168
-7.16892563	-2.268559278	5.999049079	-3.298908895
-7.227846311	-2.24969037	5.99936877	-3.29882732
-7.28671279	-2.230640053	5.999581897	-3.29877291
-7.34553844	-2.211414993	5.999723981	-3.298736625
-7.4042944	-2.192016917	5.999818704	-3.298712429
-7.462990384	-2.172448423	5.999881852	-3.298696297
-7.521654434	-2.152721309	5.999923951	-3.298685541
-7.580297989	-2.132839991	5.999952017	-3.298678369
-7.638887671	-2.112817309	5.999970728	-3.298673588
-7.69742314	-2.092659337	5.999983202	-3.298670401
-7.755905422	-2.072364214	5.999991517	-3.298668276
-7.814381661	-2.051914677	5.999997061	-3.298666859
-7.863201576	-2.034736074	6.000000757	-3.298665915
-7.895811397	-2.023214561	6.000004453	-3.29866497
-7.91757971	-2.015502018	6.000011845	-3.298663081
-7.932104657	-2.010346057	6.000026629	-3.298659303
-7.941793645	-2.006902333	6.000263152	-3.298598849
-7.948255509	-2.004603643	6.000736157	-3.298477886
-7.952564549	-2.003069898	6.008288884	-3.296534756
-7.955437745	-2.002046829	6.067754114	-3.280467263
-7.957353433	-2.001364528	6.126840798	-3.263094368
-7.958630658	-2.000909547	6.185510363	-3.244330902
-7.959482186	-2.000606175	6.243646278	-3.224053506
-7.960049891	-2.000403905	6.301312243	-3.202253663
-7.960428369	-2.000269048	6.358468978	-3.178989234
-7.960680692	-2.00017914	6.415018024	-3.154185159
-7.960848909	-2.000119198	6.470873421	-3.127828335
-7.960961055	-2.000079237	6.526053688	-3.099910328
-7.961035819	-2.000052595	6.580525129	-3.07046797
-7.961085662	-2.000034834	6.634212794	-3.039591085
-7.96111889	-2.000022993	6.687113233	-3.007269144
-7.961141043	-2.000015099	6.739046459	-2.973448897
-7.961155811	-2.000009836	6.789971265	-2.93814567
-7.961165657	-2.000006328	6.839943899	-2.901410104
-7.96117222	-2.000003989	6.888918289	-2.863242774
-7.961176596	-2.00000243	6.936857609	-2.823676839
-7.961180372	-1.99999913	6.98372922	-2.782740805
-7.961198475	-1.999994633	7.029416044	-2.740688671
-7.961268487	-1.999969684	7.073986605	-2.697626392
-7.961408509	-1.999919787	7.117518241	-2.653423307
-7.961968557	-1.999720204	7.159999218	-2.608044358
-7.964208096	-1.998921993	7.201388717	-2.561523095
-7.976132231	-1.994668958	7.241629724	-2.513907281
-7.984085933	-1.99182919	7.2805364	-2.46581025
-7.989390309	-1.989934038	7.318539688	-2.417161589
-7.992927513	-1.988669767	7.355736259	-2.367841517
